"Timestamp","Choose the highest level of happiness that can be felt by any human. [Happiness]","Scenario 1 [Happiness]","Scenario 1 [Sadness]","Scenario 1 [Surprise]","Scenario 1 [Disappointment]","Scenario 2 [Happiness]","Scenario 2 [Sadness]","Scenario 2 [Surprise]","Scenario 2 [Disappointment]","Scenario 3 [Happiness]","Scenario 3 [Sadness]","Scenario 3 [Surprise]","Scenario 3 [Disappointment]","Scenario 4 [Happiness]","Scenario 4 [Sadness]","Scenario 4 [Surprise]","Scenario 4 [Disappointment]","Scenario 5 [Happiness]","Scenario 5 [Sadness]","Scenario 5 [Surprise]","Scenario 5 [Disappointment]","Scenario 6 [Happiness]","Scenario 6 [Sadness]","Scenario 6 [Surprise]","Scenario 6 [Disappointment]","Scenario 7 [Happiness]","Scenario 7 [Sadness]","Scenario 7 [Surprise]","Scenario 7 [Disappointment]","Scenario 8 [Happiness]","Scenario 8 [Sadness]","Scenario 8 [Surprise]","Scenario 8 [Disappointment]","Scenario 9 [Happiness]","Scenario 9 [Sadness]","Scenario 9 [Surprise]","Scenario 9 [Disappointment]","What was the numerical scale for the responses? (format as ""x-y"")","What is your name? (optional)","Any other comments?"
"2018/02/12 1:03:34 PM EST","9","6","1","4","1","8","1","7","1","6","1","7","1","3","2","1","5","1","3","5","7","2","3","4","5","4","2","1","2","3","2","4","4","4","2","6","2","1-9","Dee",""
"2018/02/12 1:07:17 PM EST","9","9","1","9","1","9","1","9","1","9","1","9","1","3","6","1","6","2","8","3","8","3","6","5","6","5","4","5","4","6","3","5","5","7","5","6","5","1-9","Sachin",""
"2018/02/12 1:20:13 PM EST","7","6","1","3","1","6","1","7","1","6","3","4","1","4","5","1","3","3","7","3","8","4","6","5","7","5","2","1","3","3","4","5","7","5","2","3","2","1-9","Walt",""
"2018/02/12 1:24:01 PM EST","9","8","1","7","1","8","1","8","1","8","1","7","1","6","1","5","2","2","5","4","7","5","3","4","4","6","1","5","1","6","2","4","4","6","1","6","1","1-9","",""
"2018/02/12 1:35:38 PM EST","9","7","1","5","1","9","1","7","1","9","1","9","1","2","7","1","6","1","7","9","9","1","6","5","9","5","2","1","3","6","5","7","8","7","2","8","1","1-9","",""
"2018/02/12 1:42:08 PM EST","9","8","1","4","1","8","1","8","1","8","1","9","1","3","2","1","5","3","4","2","8","3","3","5","8","6","2","1","2","5","3","6","3","6","1","6","1","1-9","Jake",""
"2018/02/12 2:44:37 PM EST","9","5","1","4","1","7","1","3","1","7","1","4","1","4","2","1","6","3","4","5","8","3","3","5","7","5","1","2","2","5","3","6","5","6","1","5","1","1-9","",""
"2018/02/12 3:02:10 PM EST","9","6","2","6","2","6","1","8","1","6","1","6","2","3","3","5","6","2","6","6","6","2","5","4","5","5","3","4","3","4","1","5","4","4","4","4","4","1-9","",""
"2018/02/12 3:52:01 PM EST","9","9","1","8","1","9","1","9","1","9","1","7","1","5","1","1","1","1","9","6","8","5","6","5","8","6","2","8","2","4","8","5","8","8","1","8","2","1-9","",""
"2018/02/12 4:20:58 PM EST","9","8","1","2","1","7","1","5","1","9","1","7","1","3","3","1","4","2","5","3","7","1","3","4","5","7","1","1","1","4","3","5","8","6","2","2","3","1-9","Cy",""
"2018/02/12 4:28:35 PM EST","9","7","1","5","1","9","1","6","1","9","1","8","1","3","6","2","7","2","5","6","7","1","5","4","7","7","2","2","3","6","4","7","5","7","2","6","1","1-9","",""
"2018/02/12 4:42:51 PM EST","9","9","1","9","1","9","1","8","1","9","1","9","1","3","6","5","8","1","9","4","7","5","5","5","7","6","6","6","6","6","6","6","8","7","6","5","5","1-9","",""
"2018/02/12 5:47:12 PM EST","7","9","1","3","1","9","2","8","1","9","1","9","1","3","3","1","5","2","9","9","9","4","5","2","9","6","2","6","3","6","3","3","9","7","2","5","2","1-9","Sam",""
"2018/02/12 6:31:34 PM EST","9","7","1","5","1","9","1","9","1","9","1","9","1","4","4","4","7","1","7","8","9","1","9","9","9","6","4","3","3","4","6","6","7","6","3","7","3","1-9","",""
"2018/02/12 7:02:07 PM EST","9","9","1","7","1","9","1","9","1","9","1","7","2","3","6","1","6","1","9","3","9","1","6","2","8","5","2","1","5","4","4","2","8","7","3","2","2","1-9","Joe Malik",""
"2018/02/12 7:24:22 PM EST","9","9","1","8","1","9","1","7","1","9","1","6","1","4","2","1","2","2","6","2","7","2","3","2","5","6","2","4","2","2","7","2","7","7","2","3","2","1-9","",""
"2018/02/12 7:48:26 PM EST","9","5","1","3","1","6","1","6","1","6","1","5","1","3","2","3","3","4","3","6","6","4","2","1","3","5","1","1","2","5","1","5","4","5","1","4","1","1-9","Jared H",""
"2018/02/12 7:54:48 PM EST","9","9","1","9","1","9","1","8","1","9","1","8","1","5","3","2","6","1","9","5","9","3","3","3","7","8","3","3","2","5","2","3","3","6","2","6","2","1-9","(optional)",""
"2018/02/13 9:50:16 AM EST","9","7","1","5","1","9","1","9","1","9","1","9","1","1","6","3","5","1","6","9","9","1","5","8","9","3","3","2","5","4","1","8","7","6","1","6","3","1-9","",""
"2018/02/13 10:56:58 AM EST","9","9","1","7","1","9","1","9","1","9","1","9","1","4","2","2","2","3","2","3","2","4","2","5","2","6","1","4","1","6","1","7","1","6","1","7","1","1-9","Deshna jain",""
"2018/02/13 1:02:33 PM EST","9","9","1","8","1","9","1","9","1","9","1","9","1","2","5","6","7","1","6","8","9","2","7","5","8","6","2","3","2","7","1","7","3","6","2","7","2","1-9","",""